"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2021-09-18;"9834";APV;"1M";0.0049515314827045854338
2021-09-18;"9834";APV;"3M";0.0061006089027155571457
2021-09-18;"9834";APV;"6M";0.0061006089027155571457
2021-09-18;"9834";APV;"1Y";0.0061006089027155571457
2021-09-18;"9834";APV;YTD;0.0061006089027155571457
2021-09-19;"9834";APV;"1M";0.0062211200722302735903
2021-09-19;"9834";APV;"3M";0.0060918969683596750348
2021-09-19;"9834";APV;"6M";0.0060918969683596750348
2021-09-19;"9834";APV;"1Y";0.0060918969683596750348
2021-09-19;"9834";APV;YTD;0.0060918969683596750348
2021-09-20;"9834";APV;"1M";0.0045930774479969923684
2021-09-20;"9834";APV;"3M";0.0044491336288763991902
2021-09-20;"9834";APV;"6M";0.0044491336288763991902
2021-09-20;"9834";APV;"1Y";0.0044491336288763991902
2021-09-20;"9834";APV;YTD;0.0044491336288763991902
2021-09-21;"9834";APV;"1M";0.0049930063263404295755
2021-09-21;"9834";APV;"3M";0.0048399407547467342781
2021-09-21;"9834";APV;"6M";0.0048399407547467342781
2021-09-21;"9834";APV;"1Y";0.0048399407547467342781
2021-09-21;"9834";APV;YTD;0.0048399407547467342781
2021-09-22;"9834";APV;"1M";0.0050210355361712550142
2021-09-22;"9834";APV;"3M";0.0048591070103296749177
2021-09-22;"9834";APV;"6M";0.0048591070103296749177
2021-09-22;"9834";APV;"1Y";0.0048591070103296749177
2021-09-22;"9834";APV;YTD;0.0048591070103296749177
2021-09-23;"9834";APV;"1M";0.0043971582675815682145
2021-09-23;"9834";APV;"3M";0.0049616003556929938465
2021-09-23;"9834";APV;"6M";0.0049616003556929938465
2021-09-23;"9834";APV;"1Y";0.0049616003556929938465
2021-09-23;"9834";APV;YTD;0.0049616003556929938465
2021-09-24;"9834";APV;"1M";0.0020942254097849293965
2021-09-24;"9834";APV;"3M";0.0038208494217992541337
2021-09-24;"9834";APV;"6M";0.0038208494217992541337
2021-09-24;"9834";APV;"1Y";0.0038208494217992541337
2021-09-24;"9834";APV;YTD;0.0038208494217992541337
2021-09-25;"9834";APV;"1M";0.0017778291479697007467
2021-09-25;"9834";APV;"3M";0.0038107025806082855620
